Year,month,sun_hr
1919,12,33.400000000000006
1920,1,51.0
1920,2,84.2
1920,3,141.4
1920,4,90.3
1920,5,241.6
1920,6,233.50000000000003
1920,7,160.79999999999998
1920,8,150.7
1920,9,110.49999999999999
1920,10,144.79999999999998
1920,11,71.80000000000001
1920,12,37.699999999999996
1921,1,42.9
1921,2,77.89999999999999
1921,3,132.1
1921,4,195.70000000000005
1921,5,228.8
1921,6,216.00000000000003
1921,7,240.0
1921,8,145.2
1921,9,174.0
1921,10,154.2
1921,11,68.89999999999998
1921,12,47.3
1922,1,53.7
1922,2,104.89999999999998
1922,3,113.49999999999997
1922,4,149.8
1922,5,280.20000000000005
1922,6,228.79999999999998
1922,7,149.50000000000003
1922,8,127.30000000000001
1922,9,102.6
1922,10,139.99999999999994
1922,11,56.800000000000004
1922,12,55.49999999999999
1923,1,59.800000000000004
1923,2,53.49999999999999
1923,3,75.89999999999999
1923,4,115.29999999999998
1923,5,166.19999999999996
1923,6,116.1
1923,7,223.8
1923,8,256.9
1923,9,189.10000000000005
1923,10,98.30000000000001
1923,11,103.89999999999999
1923,12,42.300000000000004
1924,1,58.099999999999994
1924,2,54.8
1924,3,174.20000000000002
1924,4,157.5
1924,5,190.89999999999998
1924,6,199.60000000000002
1924,7,236.10000000000002
1924,8,169.0
1924,9,118.39999999999999
1924,10,79.2
1924,11,36.1
1924,12,42.50000000000001
1925,1,52.7
1925,2,68.3
1925,3,89.30000000000001
1925,4,139.6
1925,5,204.69999999999993
1925,6,259.5
1925,7,183.59999999999994
1925,8,133.1
1925,9,124.29999999999998
1925,10,102.89999999999998
1925,11,90.60000000000001
1925,12,57.800000000000004
1926,1,45.699999999999996
1926,2,40.6
1926,3,119.89999999999998
1926,4,108.19999999999999
1926,5,153.59999999999997
1926,6,180.70000000000002
1926,7,151.50000000000003
1926,8,195.20000000000002
1926,9,133.20000000000002
1926,10,98.5
1926,11,45.00000000000001
1926,12,64.5
1927,1,62.900000000000006
1927,2,46.0
1927,3,124.89999999999999
1927,4,165.6
1927,5,226.40000000000003
1927,6,183.7
1927,7,130.4
