year,month,monthly_air_temp
2004,5,11.988709677419353
2005,5,11.35
2006,5,12.359677419354842
2007,5,12.05967741935484
2008,5,13.3741935483871
2009,5,12.391935483870968
2010,5,10.536451612903223
2011,5,12.49361290322581
2012,5,12.004354838709679
2013,5,10.452403225806451
2014,5,12.372306451612905
2015,5,11.264548387096774
2016,5,12.639612903225807
2017,5,13.191903225806453
2018,5,13.265306451612904
2019,5,11.332209677419355
2020,5,12.918
2021,5,10.473988658064517
2022,5,13.155790145161289
2023,5,12.148500758064518
1878,6,15.115
1879,6,13.433333333333335
1880,6,13.434999999999999
1881,6,13.683333333333332
1882,6,12.74166666666667
1883,6,14.103333333333335
1884,6,13.753333333333336
1885,6,13.825000000000001
1886,6,13.413333333333332
1887,6,15.075000000000005
1888,6,13.673333333333334
1889,6,15.243333333333338
1890,6,13.901666666666667
1891,6,14.739999999999998
1892,6,13.465000000000003
1893,6,15.426666666666668
1894,6,13.793333333333333
1895,6,14.543333333333331
1896,6,16.11333333333333
1897,6,15.229999999999999
1898,6,13.461666666666666
1899,6,14.981666666666666
1900,6,14.664999999999997
1901,6,13.956666666666667
1902,6,13.523333333333335
1903,6,12.388333333333332
1904,6,13.11833333333333
1905,6,14.715
1906,6,13.693333333333332
1907,6,13.036666666666665
1908,6,14.525000000000004
1909,6,11.696666666666665
1910,6,14.846666666666668
1911,6,14.586666666666666
1912,6,14.101666666666665
1913,6,14.211666666666664
1914,6,14.351666666666668
1915,6,14.115
1916,6,11.014999999999999
1917,6,15.614999999999997
1918,6,12.756666666666666
1919,6,13.963333333333331
1920,6,13.981666666666666
1921,6,14.196666666666667
1922,6,13.803333333333333
1923,6,12.003333333333334
1924,6,14.225000000000001
1925,6,14.378333333333336
1926,6,13.018333333333334
1927,6,12.435000000000002
1928,6,12.88333333333333
1929,6,13.219999999999999
1930,6,14.959999999999999
1931,6,14.476666666666665
1932,6,13.67833333333333
1933,6,15.026666666666666
1934,6,14.795
1935,6,14.793333333333333
1936,6,14.643333333333336
1937,6,13.916666666666664
1938,6,14.648333333333333
1939,6,13.643333333333336
1940,6,15.863333333333333
1941,6,14.823333333333336
1942,6,14.346666666666664
1943,6,14.078333333333335
1944,6,13.259999999999998
1945,6,14.324999999999998
1946,6,13.108333333333333
1947,6,15.511666666666667
1948,6,13.329999999999997
1949,6,14.478333333333333
1950,6,15.983333333333329
1951,6,13.613333333333332
1952,6,14.528333333333334
1953,6,13.864999999999998
1954,6,13.418333333333335
1955,6,13.889999999999999
1956,6,12.509999999999996
1957,6,15.351666666666668
1958,6,13.738333333333333
1959,6,15.0
1960,6,15.391666666666667
1961,6,14.699999999999996
1962,6,13.149999999999999
1963,6,14.416666666666666
1964,6,13.826666666666666
1965,6,13.926666666666668
1966,6,15.191666666666668
1967,6,13.804999999999996
1968,6,14.646666666666667
1969,6,13.209999999999999
1970,6,16.056666666666665
1971,6,12.256666666666664
1972,6,11.686666666666666
1973,6,14.911666666666667
1974,6,13.74
1975,6,14.263333333333332
1976,6,17.200000000000003
1977,6,11.696666666666664
1978,6,13.451666666666666
1979,6,13.578333333333335
1980,6,13.80666666666667
1981,6,12.86166666666667
1982,6,15.443333333333333
1983,6,14.284999999999998
1984,6,14.243333333333336
1985,6,12.585
1986,6,14.456666666666665
1987,6,12.736666666666672
1988,6,13.429999999999998
1989,6,14.231666666666666
1990,6,13.161666666666669
1991,6,11.933333333333332
1992,6,15.505000000000003
1993,6,15.118333333333332
1994,6,14.65
1995,6,13.771666666666667
1996,6,14.783333333333333
1997,6,14.293333333333331
1998,6,14.363333333333335
1999,6,13.793333333333333
2000,6,15.253333333333332
2001,6,14.236666666666663
2002,6,14.418333333333333
2003,6,16.264999999999997
2004,6,15.44333333333333
2005,6,15.675
2006,6,16.105
2007,6,15.229999999999995
2008,6,14.51333333333333
2009,6,15.049999999999999
2010,6,15.558316666666672
2011,6,14.270199999999997
2012,6,13.825483333333333
2013,6,13.668649999999996
2014,6,15.390100000000002
2015,6,14.321
2016,6,15.116999999999999
2017,6,16.764333333333337
2018,6,16.200866666666666
2019,6,14.72923
2020,6,15.698433333333332
2021,6,16.05366938333333
2022,6,15.40360193333333
2023,6,17.262991999999997
1878,7,16.516129032258064
1879,7,13.929032258064517
1880,7,16.006451612903227
1881,7,17.68709677419354
1882,7,15.208064516129031
1883,7,14.78225806451613
1884,7,16.13387096774193
1885,7,16.627419354838707
1886,7,15.782258064516132
1887,7,17.775806451612898
1888,7,13.938709677419356
1889,7,15.267741935483869
1890,7,14.872580645161285
1891,7,14.76935483870968
1892,7,14.337096774193547
1893,7,16.57903225806451
1894,7,15.895161290322582
1895,7,15.862903225806454
1896,7,16.806451612903224
1897,7,16.529032258064518
1898,7,15.403225806451612
1899,7,17.696774193548386
1900,7,18.235483870967744
1901,7,17.599999999999998
1902,7,15.061290322580646
1903,7,15.433870967741935
1904,7,17.4741935483871
1905,7,17.875806451612902
1906,7,16.404838709677417
1907,7,13.891935483870968
1908,7,15.817741935483872
1909,7,14.883870967741936
1910,7,14.143548387096772
1911,7,18.287096774193547
1912,7,16.61935483870968
1913,7,14.28064516129032
1914,7,16.26290322580645
1915,7,14.712903225806452
1916,7,14.604838709677418
1917,7,15.656451612903224
1918,7,15.483870967741936
1919,7,13.38225806451613
1920,7,14.046774193548385
1921,7,18.417741935483868
1922,7,13.635483870967741
1923,7,17.579032258064515
1924,7,15.275806451612906
1925,7,16.656451612903222
1926,7,16.306451612903228
1927,7,15.145161290322582
1928,7,16.809677419354834
1929,7,16.229032258064514
1930,7,14.954838709677418
1931,7,15.124193548387098
1932,7,16.091935483870966
1933,7,17.99516129032258
1934,7,17.862903225806456
1935,7,17.296774193548384
1936,7,15.151612903225807
1937,7,15.835483870967742
1938,7,15.324193548387091
1939,7,15.161290322580646
1940,7,14.746774193548385
1941,7,17.43064516129032
1942,7,15.548387096774198
1943,7,16.217741935483872
1944,7,16.46451612903226
1945,7,16.433870967741935
1946,7,16.31612903225806
1947,7,17.329032258064515
1948,7,15.52258064516129
1949,7,17.441935483870967
1950,7,15.76290322580645
1951,7,16.449999999999996
1952,7,16.91290322580645
1953,7,14.953333333333335
1954,7,14.216129032258063
1955,7,17.13387096774193
1956,7,15.664516129032258
1957,7,16.664516129032254
1958,7,15.716129032258069
1959,7,17.35322580645161
1960,7,14.804838709677417
1961,7,15.409677419354843
